question_id,n_hops,error,token_f1,retrieval_precision,retrieval_recall,retrieval_f1,retrieval_em,total_latency_seconds,funnel_bm25_100_recall,funnel_rerank_10_recall,funnel_selected_recall
qa_406_2hop_622,2,,0.4348,0.3333,0.5,0.4,0.0,31.214,0.5,0.5,0.5
qa_503_2hop_790,2,,0.6562,0.0,0.0,0.0,0.0,22.508,0.5,0.0,0.0
qa_633_2hop_954,2,,0.4889,0.3333,0.5,0.4,0.0,36.721,0.5,0.5,0.5
qa_62_2hop_244_rand,2,,0.4898,0.3333,0.5,0.4,0.0,34.133,0.5,0.5,0.5
qa_124_2hop_480_rand,2,,0.5818,1.0,0.5,0.6667,0.0,29.083,1.0,1.0,0.5
qa_174_2hop_666_rand,2,,0.4,1.0,1.0,1.0,1.0,26.032,1.0,1.0,1.0
qa_216_2hop_824_rand,2,,0.2857,1.0,0.5,0.6667,0.0,26.866,1.0,1.0,0.5
qa_82_3hop_235_rand2,3,,0.6038,1.0,1.0,1.0,1.0,40.133,1.0,1.0,1.0
qa_127_3hop_230,3,,0.5,1.0,1.0,1.0,1.0,44.954,1.0,1.0,1.0
qa_430_3hop_669,3,,0.2,1.0,0.3333,0.5,0.0,29.181,1.0,0.3333,0.3333
qa_25_1hop_37,1,,0.7719,1.0,0.5,0.6667,0.0,28.417,1.0,1.0,0.5
qa_64_1hop_95,1,,0.4,0.3333,1.0,0.5,0.0,30.076,1.0,1.0,1.0
qa_99_1hop_167,1,,0.2439,0.2,1.0,0.3333,0.0,58.525,1.0,1.0,1.0
qa_145_1hop_267,1,,0.8485,1.0,1.0,1.0,1.0,19.471,1.0,1.0,1.0
qa_192_1hop_333,1,,0.2105,1.0,1.0,1.0,1.0,20.346,1.0,1.0,1.0
qa_115_2hop_204,2,,0.5844,1.0,0.5,0.6667,0.0,38.785,1.0,1.0,0.5
qa_332_2hop_531,2,,0.3137,1.0,0.5,0.6667,0.0,23.916,0.5,0.5,0.5
qa_522_2hop_806,2,,0.5079,0.3333,0.5,0.4,0.0,37.86,0.5,0.5,0.5
qa_644_2hop_973,2,,0.8235,1.0,1.0,1.0,1.0,33.905,1.0,1.0,1.0
qa_63_2hop_248_rand,2,,0.3478,0.3333,0.5,0.4,0.0,38.183,0.5,0.5,0.5
qa_129_2hop_497_rand,2,,0.4138,1.0,0.5,0.6667,0.0,29.519,1.0,1.0,0.5
qa_180_2hop_689_rand,2,,0.5172,1.0,1.0,1.0,1.0,32.251,1.0,1.0,1.0
qa_226_2hop_860_rand,2,,0.3934,1.0,0.5,0.6667,0.0,40.212,1.0,1.0,0.5
qa_286_2hop_1091_rand,2,,0.4051,0.5,0.5,0.5,0.0,33.104,0.5,0.5,0.5
qa_144_3hop_410_rand2,3,,0.2087,0.5,0.3333,0.4,0.0,39.582,1.0,0.6667,0.3333
qa_131_3hop_237,3,,0.2679,1.0,0.3333,0.5,0.0,37.641,0.3333,0.3333,0.3333
qa_441_3hop_696,3,,0.1053,0.3333,0.3333,0.3333,0.0,47.096,1.0,0.3333,0.3333
qa_26_1hop_39,1,,0.8,1.0,1.0,1.0,1.0,19.222,1.0,1.0,1.0
qa_102_1hop_173,1,,0.3077,0.0,0.0,0.0,0.0,25.253,0.0,0.0,0.0
qa_3_2hop_6,2,,0.5161,1.0,0.5,0.6667,0.0,23.929,1.0,1.0,0.5
qa_116_2hop_208,2,,0.6538,1.0,1.0,1.0,1.0,28.552,1.0,1.0,1.0
qa_202_2hop_350,2,,0.5455,0.0,0.0,0.0,0.0,25.23,0.5,0.0,0.0
qa_339_2hop_536,2,,0.625,0.5,0.5,0.5,0.0,26.857,0.5,0.5,0.5
qa_409_2hop_628,2,,0.2609,0.5,1.0,0.6667,0.0,48.473,1.0,1.0,1.0
qa_653_2hop_987,2,,0.3415,0.0,0.0,0.0,0.0,97.111,0.0,0.0,0.0
qa_130_2hop_501_rand,2,STAGE1_EMPTY_PARAMETRIC_PROVISIONS,,,,,,,,,
qa_185_2hop_707_rand,2,,0.4889,0.0,0.0,0.0,0.0,28.441,0.0,0.0,0.0
qa_233_2hop_888_rand,2,,0.5263,1.0,1.0,1.0,1.0,26.152,1.0,1.0,1.0
qa_41_3hop_66,3,,0.3226,0.5,0.6667,0.5714,0.0,72.169,0.6667,0.6667,0.6667
qa_304_3hop_869_rand2,3,,0.3101,0.0,0.0,0.0,0.0,51.804,0.6667,0.3333,0.0
qa_148_3hop_273,3,,0.4301,0.0,0.0,0.0,0.0,26.785,0.0,0.0,0.0
qa_460_3hop_730,3,,0.451,0.3333,0.3333,0.3333,0.0,34.342,0.3333,0.3333,0.3333
qa_68_1hop_100,1,,0.2667,0.0,0.0,0.0,0.0,32.024,0.0,0.0,0.0
qa_104_1hop_180,1,,0.2727,0.0,0.0,0.0,0.0,19.28,0.0,0.0,0.0
qa_150_1hop_277,1,,0.0556,0.0,0.0,0.0,0.0,28.835,0.0,0.0,0.0
qa_5_2hop_8,2,,0.0702,0.0,0.0,0.0,0.0,34.064,0.5,0.0,0.0
qa_122_2hop_219,2,,0.209,0.0,0.0,0.0,0.0,28.632,0.0,0.0,0.0
qa_340_2hop_539,2,,0.5217,1.0,0.5,0.6667,0.0,29.965,0.5,0.5,0.5
qa_421_2hop_650,2,,0.4364,1.0,0.5,0.6667,0.0,26.795,1.0,0.5,0.5
qa_0_2hop_1_rand,2,,0.4308,1.0,0.5,0.6667,0.0,27.765,0.5,0.5,0.5
qa_67_2hop_261_rand,2,,0.5806,1.0,0.3333,0.5,0.0,64.547,0.6667,0.6667,0.3333
qa_132_2hop_507_rand,2,,0.56,0.5,0.5,0.5,0.0,26.498,0.5,0.5,0.5
qa_193_2hop_739_rand,2,,0.4242,0.5,0.5,0.5,0.0,28.11,1.0,1.0,0.5
qa_234_2hop_892_rand,2,,0.386,1.0,0.5,0.6667,0.0,23.896,1.0,1.0,0.5
qa_291_2hop_1111_rand,2,STAGE1_EMPTY_PARAMETRIC_PROVISIONS,,,,,,,,,
qa_104_3hop_182,3,,0.5455,1.0,0.6667,0.8,0.0,25.491,0.6667,0.6667,0.6667
qa_309_3hop_881_rand2,3,,0.4198,1.0,0.6667,0.8,0.0,41.776,1.0,1.0,0.6667
qa_168_3hop_301,3,,0.4595,0.0,0.0,0.0,0.0,40.307,0.6667,0.0,0.0
qa_493_3hop_773,3,,0.2821,0.5,0.3333,0.4,0.0,32.014,1.0,0.6667,0.3333
qa_32_1hop_49,1,,0.1667,1.0,1.0,1.0,1.0,25.377,1.0,1.0,1.0
qa_69_1hop_102,1,,0.0,0.0,0.0,0.0,0.0,21.401,0.0,0.0,0.0
qa_105_1hop_183,1,,0.5,0.0,0.0,0.0,0.0,19.106,0.0,0.0,0.0
qa_152_1hop_280,1,,0.6364,1.0,1.0,1.0,1.0,20.207,1.0,1.0,1.0
qa_17_2hop_25,2,,0.4384,0.0,0.0,0.0,0.0,25.714,0.5,0.5,0.0
qa_125_2hop_226,2,,0.5581,0.3333,0.5,0.4,0.0,114.66,0.5,0.5,0.5
qa_233_2hop_388,2,,0.5926,1.0,0.5,0.6667,0.0,20.549,0.5,0.5,0.5
qa_343_2hop_541,2,,0.0769,1.0,0.5,0.6667,0.0,22.932,0.5,0.5,0.5
qa_423_2hop_656,2,,0.375,1.0,0.5,0.6667,0.0,25.476,1.0,1.0,0.5
qa_8_2hop_33_rand,2,,0.5263,1.0,0.5,0.6667,0.0,25.003,0.5,0.5,0.5
qa_70_2hop_273_rand,2,,0.7273,1.0,0.5,0.6667,0.0,27.292,1.0,1.0,0.5
qa_134_2hop_515_rand,2,,0.6038,0.5,0.5,0.5,0.0,26.992,0.5,0.5,0.5
qa_197_2hop_752_rand,2,,0.3429,1.0,1.0,1.0,1.0,35.821,1.0,1.0,1.0
qa_239_2hop_912_rand,2,,0.8627,1.0,1.0,1.0,1.0,20.687,1.0,1.0,1.0
qa_366_3hop_580,3,,0.6024,0.5,0.3333,0.4,0.0,36.669,1.0,0.6667,0.3333
qa_32_3hop_51,3,,0.1316,0.3333,0.3333,0.3333,0.0,34.017,0.3333,0.3333,0.3333
qa_495_3hop_777,3,,0.3607,0.3333,0.3333,0.3333,0.0,50.238,1.0,0.6667,0.3333
qa_1_1hop_2,1,,0.5263,1.0,1.0,1.0,1.0,18.094,1.0,1.0,1.0
qa_72_1hop_108,1,,0.8718,1.0,1.0,1.0,1.0,20.18,1.0,1.0,1.0
qa_116_1hop_207,1,,0.1,1.0,1.0,1.0,1.0,19.133,1.0,1.0,1.0
qa_155_1hop_283,1,,0.9,1.0,1.0,1.0,1.0,20.931,1.0,1.0,1.0
qa_249_2hop_406,2,,0.5366,0.5,0.5,0.5,0.0,26.377,0.5,0.5,0.5
qa_356_2hop_565,2,,0.3273,0.3333,0.5,0.4,0.0,35.65,0.5,0.5,0.5
qa_430_2hop_668,2,,0.4507,0.0,0.0,0.0,0.0,27.531,0.5,0.0,0.0
qa_552_2hop_839,2,,0.6071,0.3333,0.5,0.4,0.0,34.798,0.5,0.5,0.5
qa_23_2hop_93_rand,2,,0.8525,1.0,1.0,1.0,1.0,32.723,1.0,1.0,1.0
qa_80_2hop_313_rand,2,,0.3784,1.0,0.5,0.6667,0.0,26.175,1.0,1.0,0.5
qa_139_2hop_535_rand,2,,0.6,1.0,1.0,1.0,1.0,31.501,1.0,1.0,1.0
qa_242_2hop_923_rand,2,,0.6333,1.0,0.5,0.6667,0.0,26.94,1.0,1.0,0.5
qa_33_3hop_52,3,,0.0857,1.0,0.3333,0.5,0.0,21.858,0.6667,0.6667,0.3333
qa_209_3hop_360,3,,0.2609,0.5,0.3333,0.4,0.0,32.09,1.0,0.6667,0.3333
qa_498_3hop_782,3,,0.3191,0.5,0.3333,0.4,0.0,28.623,0.6667,0.3333,0.3333
qa_2_1hop_4,1,,0.32,1.0,1.0,1.0,1.0,18.375,1.0,1.0,1.0
qa_48_1hop_73,1,,0.75,1.0,1.0,1.0,1.0,18.837,1.0,1.0,1.0
qa_74_1hop_114,1,,0.7407,1.0,1.0,1.0,1.0,19.427,1.0,1.0,1.0
qa_124_1hop_223,1,,0.8636,1.0,1.0,1.0,1.0,18.936,1.0,1.0,1.0
qa_49_2hop_75,2,,0.2857,0.0,0.0,0.0,0.0,28.411,0.5,0.0,0.0
qa_143_2hop_261,2,,0.4255,0.5,0.5,0.5,0.0,26.798,0.5,0.5,0.5
qa_365_2hop_578,2,,0.4151,0.5,0.5,0.5,0.0,26.015,0.5,0.5,0.5
qa_435_2hop_678,2,,0.2564,0.0,0.0,0.0,0.0,36.913,0.0,0.0,0.0
qa_566_2hop_861,2,,0.2,0.0,0.0,0.0,0.0,23.115,0.0,0.0,0.0
qa_83_2hop_325_rand,2,,0.3953,1.0,0.5,0.6667,0.0,31.237,1.0,1.0,0.5
qa_144_2hop_555_rand,2,,0.7826,0.3333,0.5,0.4,0.0,30.842,0.5,0.5,0.5
qa_243_2hop_927_rand,2,,0.8718,1.0,0.5,0.6667,0.0,29.388,0.5,0.5,0.5
qa_242_3hop_399,3,,0.1231,0.0,0.0,0.0,0.0,29.097,0.6667,0.0,0.0
qa_6_1hop_9,1,,0.8889,1.0,1.0,1.0,1.0,20.034,1.0,1.0,1.0
qa_50_1hop_78,1,,0.4444,1.0,1.0,1.0,1.0,19.762,1.0,1.0,1.0
qa_76_1hop_118,1,,0.0,1.0,1.0,1.0,1.0,16.068,1.0,1.0,1.0
qa_125_1hop_225,1,,0.3,0.0,0.0,0.0,0.0,11.525,0.0,0.0,0.0
qa_160_1hop_289,1,,0.5882,1.0,1.0,1.0,1.0,17.502,1.0,1.0,1.0
qa_58_2hop_88,2,,0.6579,1.0,1.0,1.0,1.0,34.516,1.0,1.0,1.0
qa_273_2hop_431,2,,0.6545,0.3333,0.5,0.4,0.0,40.411,1.0,0.5,0.5
qa_584_2hop_884,2,STAGE1_EMPTY_PARAMETRIC_PROVISIONS,,,,,,,,,
qa_26_2hop_104_rand,2,,0.3279,0.5,0.5,0.5,0.0,30.006,0.5,0.5,0.5
qa_85_2hop_333_rand,2,STAGE1_EMPTY_PARAMETRIC_PROVISIONS,,,,,,,,,
qa_145_2hop_559_rand,2,,0.2581,0.0,0.0,0.0,0.0,17.718,0.5,0.5,0.0
qa_206_2hop_786_rand,2,,0.5926,0.5,0.5,0.5,0.0,27.454,1.0,1.0,0.5
qa_244_2hop_931_rand,2,,0.3373,0.5,0.5,0.5,0.0,26.925,0.5,0.5,0.5
qa_608_3hop_919,3,,0.4412,0.5,0.3333,0.4,0.0,46.241,0.6667,0.3333,0.3333
qa_274_3hop_434,3,,0.1928,0.3333,0.3333,0.3333,0.0,32.721,0.6667,0.3333,0.3333
qa_550_3hop_837,3,,0.2063,0.0,0.0,0.0,0.0,44.534,0.3333,0.0,0.0
qa_13_1hop_18,1,,0.1379,0.5,1.0,0.6667,0.0,26.887,1.0,1.0,1.0
qa_52_1hop_80,1,,0.5217,1.0,1.0,1.0,1.0,25.847,1.0,1.0,1.0
qa_80_1hop_125,1,,0.3077,1.0,1.0,1.0,1.0,19.024,1.0,1.0,1.0
qa_162_1hop_291,1,,0.0,0.0,0.0,0.0,0.0,17.36,0.0,0.0,0.0
qa_59_2hop_90,2,,0.5763,0.5,0.5,0.5,0.0,24.972,0.5,0.5,0.5
qa_158_2hop_287,2,,0.6818,1.0,1.0,1.0,1.0,27.223,1.0,1.0,1.0
qa_281_2hop_441,2,,0.2667,0.0,0.0,0.0,0.0,22.941,0.0,0.0,0.0
qa_368_2hop_584,2,,0.6667,1.0,0.5,0.6667,0.0,19.018,0.5,0.5,0.5
qa_602_2hop_910,2,,0.5714,1.0,0.5,0.6667,0.0,24.731,0.5,0.5,0.5
qa_28_2hop_112_rand,2,,0.7059,1.0,1.0,1.0,1.0,24.244,1.0,1.0,1.0
qa_157_2hop_606_rand,2,,0.95,0.5,0.5,0.5,0.0,26.282,0.5,0.5,0.5
qa_207_2hop_790_rand,2,,0.1463,0.0,0.0,0.0,0.0,20.126,0.0,0.0,0.0
qa_14_3hop_58_rand,3,,0.4733,0.25,0.3333,0.2857,0.0,56.408,0.3333,0.3333,0.3333
qa_73_3hop_113,3,STAGE1_EMPTY_PARAMETRIC_PROVISIONS,,,,,,,,,
qa_314_3hop_503,3,,0.359,0.5,0.6667,0.5714,0.0,54.836,1.0,1.0,0.6667
qa_16_1hop_22,1,,0.9375,1.0,1.0,1.0,1.0,20.518,1.0,1.0,1.0
qa_55_1hop_83,1,,0.1905,0.0,0.0,0.0,0.0,18.142,0.0,0.0,0.0
qa_135_1hop_245,1,,0.6897,1.0,1.0,1.0,1.0,31.288,1.0,1.0,1.0
qa_165_1hop_293,1,,0.2857,0.0,0.0,0.0,0.0,20.248,0.0,0.0,0.0
qa_69_2hop_103,2,,0.3944,0.5,0.5,0.5,0.0,30.255,0.5,0.5,0.5
qa_168_2hop_300,2,,0.4783,1.0,1.0,1.0,1.0,25.866,1.0,1.0,1.0
qa_290_2hop_453,2,,0.3208,0.0,0.0,0.0,0.0,43.748,0.5,0.0,0.0
qa_450_2hop_717,2,,0.3214,0.0,0.0,0.0,0.0,29.213,0.5,0.0,0.0
qa_41_2hop_160_rand,2,,0.6471,1.0,0.5,0.6667,0.0,20.27,1.0,1.0,0.5
qa_92_2hop_361_rand,2,,0.8525,1.0,1.0,1.0,1.0,34.941,1.0,1.0,1.0
qa_159_2hop_614_rand,2,,0.4,0.5,0.5,0.5,0.0,27.146,1.0,0.5,0.5
qa_209_2hop_798_rand,2,,0.4,0.5,0.5,0.5,0.0,29.93,0.5,0.5,0.5
qa_248_2hop_947_rand,2,,0.2128,0.5,0.5,0.5,0.0,29.452,0.5,0.5,0.5
qa_32_3hop_125_rand,3,,0.3214,0.25,0.3333,0.2857,0.0,43.53,0.6667,0.3333,0.3333
qa_74_3hop_116,3,,0.3871,1.0,0.6667,0.8,0.0,31.266,0.6667,0.6667,0.6667
qa_321_3hop_511,3,,0.3529,0.75,1.0,0.8571,0.0,43.181,1.0,1.0,1.0
qa_17_1hop_24,1,,0.5625,1.0,1.0,1.0,1.0,29.15,1.0,1.0,1.0
qa_56_1hop_86,1,,0.4828,1.0,1.0,1.0,1.0,19.543,1.0,1.0,1.0
qa_85_1hop_135,1,,0.4,0.0,0.0,0.0,0.0,25.471,0.0,0.0,0.0
qa_138_1hop_252,1,,0.0,1.0,1.0,1.0,1.0,16.183,1.0,1.0,1.0
qa_168_1hop_299,1,,0.2222,1.0,1.0,1.0,1.0,16.721,1.0,1.0,1.0
qa_299_2hop_473,2,,0.3636,0.0,0.0,0.0,0.0,27.674,0.5,0.5,0.0
qa_473_2hop_745,2,,0.4,0.0,0.0,0.0,0.0,29.482,0.5,0.5,0.0
qa_608_2hop_918,2,,0.5172,0.3333,0.5,0.4,0.0,34.403,1.0,0.5,0.5
qa_47_2hop_184_rand,2,,0.4262,0.5,0.5,0.5,0.0,28.023,1.0,1.0,0.5
qa_102_2hop_400_rand,2,,0.4486,0.5,0.5,0.5,0.0,31.147,1.0,1.0,0.5
qa_211_2hop_804_rand,2,,0.4773,1.0,0.5,0.6667,0.0,28.2,1.0,0.5,0.5
qa_250_2hop_955_rand,2,,0.6519,1.0,1.0,1.0,1.0,32.346,1.0,1.0,1.0
qa_132_3hop_508_rand,3,,0.7586,0.6667,0.6667,0.6667,0.0,35.154,0.6667,0.6667,0.6667
qa_77_3hop_121,3,,0.259,0.0,0.0,0.0,0.0,37.497,0.3333,0.0,0.0
qa_329_3hop_523,3,,0.1754,1.0,0.3333,0.5,0.0,45.161,0.6667,0.6667,0.3333
qa_0_1hop_0,1,,0.7647,0.5,1.0,0.6667,0.0,24.762,1.0,1.0,1.0
qa_45_1hop_69,1,,0.8636,1.0,1.0,1.0,1.0,26.281,1.0,1.0,1.0
qa_70_1hop_106,1,,0.1176,0.0,0.0,0.0,0.0,20.722,0.0,0.0,0.0
qa_110_1hop_193,1,,0.3636,1.0,1.0,1.0,1.0,17.877,1.0,1.0,1.0
qa_154_1hop_281,1,,0.8,1.0,1.0,1.0,1.0,19.23,1.0,1.0,1.0
qa_22_2hop_33,2,,0.2692,0.0,0.0,0.0,0.0,22.345,0.0,0.0,0.0
qa_244_2hop_400,2,,0.8941,0.6667,1.0,0.8,0.0,36.777,1.0,1.0,1.0
qa_344_2hop_543,2,,0.2143,0.5,0.3333,0.4,0.0,20.027,0.6667,0.6667,0.3333
qa_429_2hop_665,2,,0.3333,0.0,0.0,0.0,0.0,38.243,0.0,0.0,0.0
qa_549_2hop_834,2,,0.5357,0.5,0.5,0.5,0.0,23.726,1.0,0.5,0.5
qa_19_2hop_77_rand,2,,0.5306,0.5,0.3333,0.4,0.0,25.185,0.3333,0.3333,0.3333
qa_71_2hop_277_rand,2,,0.5517,1.0,0.5,0.6667,0.0,24.141,0.5,0.5,0.5
qa_136_2hop_523_rand,2,STAGE1_EMPTY_PARAMETRIC_PROVISIONS,,,,,,,,,
qa_198_2hop_756_rand,2,,0.4545,0.5,0.5,0.5,0.0,24.667,1.0,1.0,0.5
qa_240_2hop_916_rand,2,,0.3294,0.5,0.5,0.5,0.0,48.693,0.5,0.5,0.5
qa_297_2hop_1135_rand,2,,0.2439,0.0,0.0,0.0,0.0,25.269,0.5,0.5,0.0
qa_293_3hop_839_rand2,3,,0.3478,1.0,1.0,1.0,1.0,41.676,1.0,1.0,1.0
qa_136_3hop_249,3,,0.3714,0.3333,0.3333,0.3333,0.0,36.421,0.3333,0.3333,0.3333
qa_443_3hop_703,3,,0.1159,0.3333,0.3333,0.3333,0.0,29.15,0.6667,0.3333,0.3333
